Time Started,Cognitive Task,Screens
0:19:06,Generate Plan,Map
0:19:19,Test Hypothesis,Filter
0:19:27,Generate Plan,Statistics
0:19:31,Test Hypothesis,Filter
0:19:50,Generate Plan,Supporting material
0:20:16,Test Hypothesis,Filter
0:20:27,Generate Plan,Map
0:20:47,Generate Plan,Supporting material
0:21:01,Generate Plan,Supporting material
0:21:10,Generate Hypothesis,Map
0:21:38,Generate Plan,Map
0:21:50,Test Hypothesis,Filter
0:21:59,Assess Results,Map
0:22:16,Conclude,Map
0:22:58,Generate Plan,Map
0:23:29,Generate Plan,Map
0:23:44,Generate Hypothesis,Map
0:23:58,Generate Hypothesis,Map
0:24:06,Generate Plan,Filter
0:24:20,Test Hypothesis,Filter
0:24:49,Assess Results,Supporting material
0:25:03,Assess Results,Map
0:25:31,Assess Results,Statistics
0:25:44,Assess Results,Map
0:25:59,Test Hypothesis,Filter
0:26:06,Assess Results,Map
0:26:24,Conclude,Map
0:26:42,Conclude,Map
0:27:00,Generate Hypothesis,Supporting material
0:27:10,Generate Hypothesis,Map
0:27:17,Generate Hypothesis,Supporting material
0:27:32,Generate Hypothesis,Map
0:27:40,Generate Plan,Map
0:27:53,Generate Plan,Supporting material
0:28:00,Generate Plan,Supporting material
0:28:50,Generate Plan,Supporting material
0:29:37,Generate Plan,Map
0:29:48,Generate Plan,Filter
0:30:16,Generate Plan,Supporting material
0:30:23,Generate Plan,Filter
0:30:38,Test Hypothesis,Filter
0:30:52,Assess Results,Map
0:31:10,Assess Results,Map
0:31:15,Assess Results,Filter
0:31:18,Assess Results,Statistics
0:31:29,Assess Results,Map
0:31:42,Assess Results,Map
0:31:48,Generate Plan,Filter
0:31:50,Generate Plan,Statistics
0:32:26,Generate Plan,Statistics
0:32:58,Generate Plan,Statistics
0:33:25,Generate Hypothesis,Statistics
0:33:39,Generate Hypothesis,Supporting material
0:33:46,Generate Hypothesis,Statistics
0:33:54,Generate Hypothesis,Statistics
0:34:01,Generate Plan,Filter
0:34:12,Generate Plan,Statistics
0:34:15,Generate Plan,Map
0:34:39,Test Hypothesis,Filter
0:34:54,Test Hypothesis,Filter
0:35:37,Assess Results,Map
0:36:05,Assess Results,Statistics
0:36:20,Assess Results,Statistics
0:36:38,Assess Results,Statistics
0:37:25,Assess Results,Supporting material
0:37:34,Assess Results,Statistics
0:37:36,Assess Results,Supporting material
0:37:45,Assess Results,Supporting material
0:37:48,Assess Results,Statistics
0:37:54,Assess Results,Supporting material
0:38:07,Assess Results,Statistics
0:38:14,Assess Results,Statistics
0:38:21,Assess Results,Supporting material
0:38:30,Assess Results,Statistics
0:38:34,Assess Results,Filter
0:38:39,Assess Results,Statistics
0:39:20,Assess Results,Filter
0:39:30,Assess Results,Statistics
0:39:40,Assess Results,Statistics
0:40:14,Assess Results,Map
0:40:27,Conclude,Statistics
0:40:45,Conclude,Supporting material
0:41:12,Generate Plan,Statistics
0:41:18,Test Hypothesis,Filter
0:41:45,Assess Results,Statistics
0:41:55,Assess Results,Map
0:42:10,Assess Results,Statistics
0:42:15,Assess Results,Map
0:42:18,Test Hypothesis,Filter
0:42:25,Assess Results,Map
0:42:31,Test Hypothesis,Filter
0:42:37,Assess Results,Map
0:42:44,Assess Results,Statistics
0:43:22,Conclude,Supporting material
